PersonID,SpaceID,DateTime
179,0,2020-01-01 09:26:37
87,0,2020-01-01 12:50:04
75,1,2020-01-01 07:53:48
136,1,2020-01-01 07:53:48
172,1,2020-01-01 07:53:48
29,1,2020-01-01 08:09:23
38,1,2020-01-01 08:09:23
136,1,2020-01-01 08:09:23
64,1,2020-01-01 08:09:23
145,1,2020-01-01 08:09:23
28,1,2020-01-01 08:23:30
29,1,2020-01-01 08:23:30
63,1,2020-01-01 08:23:30
75,1,2020-01-01 08:23:30
107,1,2020-01-01 08:23:30
136,1,2020-01-01 08:23:30
172,1,2020-01-01 08:23:30
145,1,2020-01-01 08:23:30
28,1,2020-01-01 08:35:03
29,1,2020-01-01 08:35:03
38,1,2020-01-01 08:35:03
63,1,2020-01-01 08:35:03
75,1,2020-01-01 08:35:03
107,1,2020-01-01 08:35:03
136,1,2020-01-01 08:35:03
172,1,2020-01-01 08:35:03
145,1,2020-01-01 08:35:03
1,1,2020-01-01 08:52:50
28,1,2020-01-01 08:52:50
29,1,2020-01-01 08:52:50
38,1,2020-01-01 08:52:50
107,1,2020-01-01 08:52:50
136,1,2020-01-01 08:52:50
172,1,2020-01-01 08:52:50
145,1,2020-01-01 08:52:50
1,1,2020-01-01 09:08:39
28,1,2020-01-01 09:08:39
29,1,2020-01-01 09:08:39
63,1,2020-01-01 09:08:39
75,1,2020-01-01 09:08:39
107,1,2020-01-01 09:08:39
136,1,2020-01-01 09:08:39
172,1,2020-01-01 09:08:39
1,1,2020-01-01 09:23:04
29,1,2020-01-01 09:23:04
38,1,2020-01-01 09:23:04
63,1,2020-01-01 09:23:04
75,1,2020-01-01 09:23:04
107,1,2020-01-01 09:23:04
136,1,2020-01-01 09:23:04
145,1,2020-01-01 09:23:04
22,1,2020-01-01 09:40:11
29,1,2020-01-01 09:40:11
38,1,2020-01-01 09:40:11
57,1,2020-01-01 09:40:11
63,1,2020-01-01 09:40:11
107,1,2020-01-01 09:40:11
136,1,2020-01-01 09:40:11
172,1,2020-01-01 09:40:11
179,1,2020-01-01 09:40:11
184,1,2020-01-01 09:40:11
145,1,2020-01-01 09:40:11
1,1,2020-01-01 09:54:02
22,1,2020-01-01 09:54:02
38,1,2020-01-01 09:54:02
57,1,2020-01-01 09:54:02
63,1,2020-01-01 09:54:02
91,1,2020-01-01 09:54:02
136,1,2020-01-01 09:54:02
172,1,2020-01-01 09:54:02
179,1,2020-01-01 09:54:02
22,1,2020-01-01 10:07:42
38,1,2020-01-01 10:07:42
63,1,2020-01-01 10:07:42
91,1,2020-01-01 10:07:42
136,1,2020-01-01 10:07:42
172,1,2020-01-01 10:07:42
22,1,2020-01-01 10:25:15
57,1,2020-01-01 10:25:15
63,1,2020-01-01 10:25:15
91,1,2020-01-01 10:25:15
136,1,2020-01-01 10:25:15
172,1,2020-01-01 10:25:15
178,1,2020-01-01 10:25:15
179,1,2020-01-01 10:25:15
22,1,2020-01-01 10:41:02
29,1,2020-01-01 10:41:02
57,1,2020-01-01 10:41:02
63,1,2020-01-01 10:41:02
91,1,2020-01-01 10:41:02
136,1,2020-01-01 10:41:02
172,1,2020-01-01 10:41:02
179,1,2020-01-01 10:41:02
47,1,2020-01-01 10:41:02
22,1,2020-01-01 11:01:01
29,1,2020-01-01 11:01:01
57,1,2020-01-01 11:01:01
91,1,2020-01-01 11:01:01
136,1,2020-01-01 11:01:01
166,1,2020-01-01 11:01:01
172,1,2020-01-01 11:01:01
178,1,2020-01-01 11:01:01
156,1,2020-01-01 11:01:01
22,1,2020-01-01 11:12:43
57,1,2020-01-01 11:12:43
63,1,2020-01-01 11:12:43
75,1,2020-01-01 11:12:43
107,1,2020-01-01 11:12:43
136,1,2020-01-01 11:12:43
166,1,2020-01-01 11:12:43
172,1,2020-01-01 11:12:43
178,1,2020-01-01 11:12:43
22,1,2020-01-01 11:22:24
63,1,2020-01-01 11:22:24
75,1,2020-01-01 11:22:24
107,1,2020-01-01 11:22:24
136,1,2020-01-01 11:22:24
166,1,2020-01-01 11:22:24
178,1,2020-01-01 11:22:24
180,1,2020-01-01 11:22:24
22,1,2020-01-01 11:35:53
63,1,2020-01-01 11:35:53
75,1,2020-01-01 11:35:53
107,1,2020-01-01 11:35:53
166,1,2020-01-01 11:35:53
172,1,2020-01-01 11:35:53
178,1,2020-01-01 11:35:53
180,1,2020-01-01 11:35:53
22,1,2020-01-01 11:52:48
57,1,2020-01-01 11:52:48
63,1,2020-01-01 11:52:48
166,1,2020-01-01 11:52:48
180,1,2020-01-01 11:52:48
57,1,2020-01-01 12:03:20
75,1,2020-01-01 12:03:20
107,1,2020-01-01 12:03:20
180,1,2020-01-01 12:03:20
112,1,2020-01-01 12:03:20
57,1,2020-01-01 12:16:33
75,1,2020-01-01 12:16:33
107,1,2020-01-01 12:16:33
180,1,2020-01-01 12:16:33
151,1,2020-01-01 12:50:17
58,1,2020-01-01 12:50:17
190,1,2020-01-01 13:07:35
151,1,2020-01-01 13:20:53
151,1,2020-01-01 13:39:41
136,2,2020-01-01 07:50:24
63,2,2020-01-01 07:57:55
75,2,2020-01-01 07:57:55
107,2,2020-01-01 07:57:55
136,2,2020-01-01 07:57:55
172,2,2020-01-01 07:57:55
47,2,2020-01-01 07:57:55
38,2,2020-01-01 08:07:40
75,2,2020-01-01 08:07:40
107,2,2020-01-01 08:07:40
136,2,2020-01-01 08:07:40
172,2,2020-01-01 08:07:40
145,2,2020-01-01 08:07:40
28,2,2020-01-01 08:21:50
38,2,2020-01-01 08:21:50
63,2,2020-01-01 08:21:50
75,2,2020-01-01 08:21:50
