SensorID,DateTime,Temperature
21,2020-01-06 00:00:00,70
21,2020-01-06 00:15:00,70.15
21,2020-01-06 00:30:00,70.51
21,2020-01-06 00:45:00,70.504
21,2020-01-06 01:00:00,70.8016
21,2020-01-06 01:15:00,71.0706
21,2020-01-06 01:30:00,70.5783
21,2020-01-06 01:45:00,70.5313
21,2020-01-06 02:00:00,71.2625
21,2020-01-06 02:15:00,71.255
21,2020-01-06 02:30:00,71.552
21,2020-01-06 02:45:00,71.8208
21,2020-01-06 03:00:00,71.0283
21,2020-01-06 03:15:00,70.4113
21,2020-01-06 03:30:00,70.6145
21,2020-01-06 03:45:00,70.6958
21,2020-01-06 04:00:00,70.7283
21,2020-01-06 04:15:00,70.7413
21,2020-01-06 04:30:00,72.0965
21,2020-01-06 04:45:00,72.0386
21,2020-01-06 05:00:00,73.2154
21,2020-01-06 05:15:00,75.0362
21,2020-01-06 05:30:00,76.0645
21,2020-01-06 05:45:00,77.6758
21,2020-01-06 06:00:00,78.6203
21,2020-01-06 06:15:00,79.2981
21,2020-01-06 06:30:00,80.1693
21,2020-01-06 06:45:00,79.6177
21,2020-01-06 07:00:00,78.9471
21,2020-01-06 07:15:00,77.7788
21,2020-01-06 07:30:00,77.1615
21,2020-01-06 07:45:00,76.3146
21,2020-01-06 08:00:00,76.4258
21,2020-01-06 08:15:00,74.9703
21,2020-01-06 08:30:00,74.5381
21,2020-01-06 08:45:00,74.3653
21,2020-01-06 09:00:00,74.5961
21,2020-01-06 09:15:00,74.6884
21,2020-01-06 09:30:00,73.8254
21,2020-01-06 09:45:00,72.8802
21,2020-01-06 10:00:00,72.2021
21,2020-01-06 10:15:00,71.6308
21,2020-01-06 10:30:00,70.9523
21,2020-01-06 10:45:00,70.8309
21,2020-01-06 11:00:00,70.3324
21,2020-01-06 11:15:00,70.1329
21,2020-01-06 11:30:00,70.0532
21,2020-01-06 11:45:00,70.0213
21,2020-01-06 12:00:00,70.0085
21,2020-01-06 12:15:00,70.0034
21,2020-01-06 12:30:00,70.0014
21,2020-01-06 12:45:00,70.0005
21,2020-01-06 13:00:00,70.0002
21,2020-01-06 13:15:00,70.0001
21,2020-01-06 13:30:00,70
21,2020-01-06 13:45:00,70
21,2020-01-06 14:00:00,70
21,2020-01-06 14:15:00,70
21,2020-01-06 14:30:00,70
21,2020-01-06 14:45:00,70
21,2020-01-06 15:00:00,70
21,2020-01-06 15:15:00,70
21,2020-01-06 15:30:00,70
21,2020-01-06 15:45:00,70
21,2020-01-06 16:00:00,70
21,2020-01-06 16:15:00,70
21,2020-01-06 16:30:00,70
21,2020-01-06 16:45:00,70
21,2020-01-06 17:00:00,70
21,2020-01-06 17:15:00,70
21,2020-01-06 17:30:00,70
21,2020-01-06 17:45:00,70
21,2020-01-06 18:00:00,70
21,2020-01-06 18:15:00,70
21,2020-01-06 18:30:00,70
21,2020-01-06 18:45:00,70
21,2020-01-06 19:00:00,70
21,2020-01-06 19:15:00,70
21,2020-01-06 19:30:00,70
21,2020-01-06 19:45:00,70
21,2020-01-06 20:00:00,70
21,2020-01-06 20:15:00,70
21,2020-01-06 20:30:00,70
21,2020-01-06 20:45:00,70
21,2020-01-06 21:00:00,70
21,2020-01-06 21:15:00,70
21,2020-01-06 21:30:00,70
21,2020-01-06 21:45:00,70
21,2020-01-06 22:00:00,70
21,2020-01-06 22:15:00,70
21,2020-01-06 22:30:00,70
21,2020-01-06 22:45:00,70
21,2020-01-06 23:00:00,70
21,2020-01-06 23:15:00,70
21,2020-01-06 23:30:00,70
21,2020-01-06 23:45:00,70
22,2020-01-06 00:00:00,70
22,2020-01-06 00:15:00,70
22,2020-01-06 00:30:00,70
22,2020-01-06 00:45:00,70
22,2020-01-06 01:00:00,70
22,2020-01-06 01:15:00,70
22,2020-01-06 01:30:00,70
22,2020-01-06 01:45:00,70
22,2020-01-06 02:00:00,70
22,2020-01-06 02:15:00,70
22,2020-01-06 02:30:00,70
22,2020-01-06 02:45:00,70
22,2020-01-06 03:00:00,70
22,2020-01-06 03:15:00,70
22,2020-01-06 03:30:00,70
22,2020-01-06 03:45:00,70
22,2020-01-06 04:00:00,70.6
22,2020-01-06 04:15:00,71.74
22,2020-01-06 04:30:00,73.246
22,2020-01-06 04:45:00,74.8984
22,2020-01-06 05:00:00,75.8594
22,2020-01-06 05:15:00,76.8437
22,2020-01-06 05:30:00,77.2375
22,2020-01-06 05:45:00,77.395
22,2020-01-06 06:00:00,77.758
22,2020-01-06 06:15:00,77.9032
22,2020-01-06 06:30:00,78.1113
22,2020-01-06 06:45:00,78.1945
22,2020-01-06 07:00:00,78.0778
22,2020-01-06 07:15:00,77.5811
22,2020-01-06 07:30:00,74.3824
22,2020-01-06 07:45:00,73.853
22,2020-01-06 08:00:00,73.9412
22,2020-01-06 08:15:00,73.5265
22,2020-01-06 08:30:00,73.3606
22,2020-01-06 08:45:00,73.5942
22,2020-01-06 09:00:00,73.5377
22,2020-01-06 09:15:00,73.3651
22,2020-01-06 09:30:00,73.446
22,2020-01-06 09:45:00,73.3284
22,2020-01-06 10:00:00,72.8314
22,2020-01-06 10:15:00,72.6325
22,2020-01-06 10:30:00,72.553
